epoch,train_loss,train_acc,val_loss,val_acc,backbone_lr,head_lr,best_val_acc,best_epoch,epochs_without_improvement
44,0.705368790443127,0.8413846153846154,0.4747240552229759,0.9907692307692307,5.7976062077965595e-06,5.046497434935076e-05,0.9933333333333333,41,3
45,0.72739337011484,0.8128461538461539,0.4714138144713182,0.9933333333333333,5.246951672795061e-06,4.478753621261117e-05,0.9933333333333333,41,4
46,0.7204886224820064,0.8301538461538461,0.4707185770915105,0.9917948717948718,4.724400030577786e-06,3.93998485911296e-05,0.9933333333333333,41,5
47,0.695866535113408,0.8313076923076923,0.4739779933599325,0.9907692307692307,4.231383558873922e-06,3.431667876218286e-05,0.9933333333333333,41,6
48,0.7043760778170366,0.8273846153846154,0.47673650833276604,0.9912820512820513,3.769253581563263e-06,2.9551959340945383e-05,0.9933333333333333,41,7
49,0.6921188580439641,0.8262307692307692,0.4709296054412157,0.9933333333333333,3.3392767647913527e-06,2.511875009215913e-05,0.9933333333333333,41,8
50,0.6944286714333754,0.8229230769230769,0.4748080068979508,0.9933333333333333,2.9426316451256386e-06,2.1029202134226422e-05,0.9933333333333333,41,9
51,0.6866735634253576,0.8460769230769231,0.47095438813551876,0.9938461538461538,2.580405399268667e-06,1.7294524633839024e-05,0.9938461538461538,51,0
52,0.6899650278825026,0.8426923076923077,0.4729630197928502,0.9912820512820513,2.2535908641822855e-06,1.392495408243116e-05,0.9938461538461538,51,1
53,0.6825183976796957,0.8416923076923077,0.47329916813434697,0.9923076923076923,1.963083815790574e-06,1.0929726238668344e-05,0.9938461538461538,51,2
54,0.6941164499062759,0.8445384615384616,0.47665915852937946,0.9917948717948718,1.7096805137202735e-06,8.31705081387455e-06,0.9938461538461538,51,3
55,0.6962851719122667,0.8265384615384616,0.47180348295431873,0.9928205128205129,1.4940755188085092e-06,6.09408896978429e-06,0.9938461538461538,51,4
56,0.7005927878526541,0.8095384615384615,0.47203175413302884,0.9923076923076923,1.3168597893598172e-06,4.266933690296051e-06,0.9938461538461538,51,5
57,0.6843845137082614,0.8381538461538461,0.4702091349699558,0.9928205128205129,1.1785190613705039e-06,2.840593081026921e-06,0.9938461538461538,51,6
58,0.6741964097389808,0.8353846153846154,0.47009146406100344,0.9928205128205129,1.0794325171600355e-06,1.818976642443127e-06,0.9938461538461538,51,7
59,0.6732459229689378,0.8376923076923077,0.4713346445560455,0.9943589743589744,1.0198717460586794e-06,1.204884554191212e-06,0.9943589743589744,59,0
60,0.6850054979691138,0.8223076923076923,0.4716481036406297,0.9923076923076923,1e-06,1e-06,0.9943589743589744,59,1
