epoch,train_loss,train_acc,val_loss,val_acc,backbone_lr,head_lr,best_val_acc,best_epoch,epochs_without_improvement
1,1.3871232646428622,0.579,0.6633932135655329,0.9230769230769231,2.9980128253941316e-05,0.00029979511544580873,0.9230769230769231,1,0
2,1.1009219058110165,0.6866153846153846,0.6014823053433345,0.9497435897435897,2.9920567482839957e-05,0.0002991810233575568,0.9497435897435897,2,0
3,1.031271892767686,0.7171538461538461,0.5729344580723689,0.9569230769230769,2.9821480938629492e-05,0.00029815940691897306,0.9569230769230769,3,0
4,0.9821406382047213,0.7357692307692307,0.5497260644497015,0.9676923076923077,2.9683140210640177e-05,0.0002967330663097039,0.9676923076923077,4,0
5,0.9449297023553115,0.7300769230769231,0.5425263409125499,0.9615384615384616,2.9505924481191483e-05,0.00029490591103021566,0.9676923076923077,4,1
6,0.936036750793457,0.7596923076923077,0.5395564456780751,0.9687179487179487,2.9290319486279723e-05,0.0002926829491861254,0.9687179487179487,6,0
7,0.8976693774736845,0.7821538461538462,0.535413589538672,0.9697435897435898,2.903691618420942e-05,0.0002900702737613316,0.9697435897435898,7,0
8,0.9191510517780598,0.7556153846153846,0.5254696685839922,0.9723076923076923,2.8746409135817706e-05,0.00028707504591756876,0.9723076923076923,8,0
9,0.8966918565676762,0.7716153846153846,0.5220741868630434,0.9774358974358974,2.8419594600731326e-05,0.0002837054753661609,0.9774358974358974,9,0
10,0.864971491410182,0.7798461538461539,0.5136365585449414,0.9774358974358974,2.8057368354874356e-05,0.00027997079786577355,0.9774358974358974,9,1
11,0.8617705687009372,0.7793076923076923,0.5189264931128575,0.9774358974358974,2.7660723235208643e-05,0.00027588124990784085,0.9774358974358974,9,2
12,0.8461548515099746,0.7758461538461539,0.5073382727305095,0.9835897435897436,2.723074641843673e-05,0.0002714480406590546,0.9835897435897436,12,0
13,0.8408861191456134,0.7730769230769231,0.5039948659065442,0.9805128205128205,2.6768616441126072e-05,0.00026668332123781714,0.9835897435897436,12,1
14,0.8238239866586832,0.7996153846153846,0.5054128215863154,0.9815384615384616,2.627559996942221e-05,0.00026160015140887043,0.9835897435897436,12,2
15,0.8266173786383408,0.7987692307692308,0.5006380394788889,0.9841025641025641,2.575304832720493e-05,0.00025621246378738883,0.9841025641025641,15,0
16,0.8144643811812767,0.7985384615384615,0.5114345512634668,0.977948717948718,2.5202393792203436e-05,0.0002505350256506493,0.9841025641025641,15,1
17,0.8224501752853394,0.8037692307692308,0.5028794044409043,0.9835897435897436,2.4625145670222635e-05,0.00024458339846195065,0.9841025641025641,15,2
18,0.8233303326460031,0.7891538461538462,0.5008701325074221,0.9815384615384616,2.402288615824085e-05,0.00023837389521772466,0.9841025641025641,15,3
19,0.820431053675138,0.7699230769230769,0.49972203000997883,0.98,2.3397266007717884e-05,0.00023192353573474648,0.9841025641025641,15,4
